Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
7125991,"Seeing Further: Ideas, Endeavours, Discoveries and Disputes — The Story of Science Through 350 Years of the Royal Society",Bill Bryson,"Bryson, Bill","James Gleick, Henry Petroski, Georgina Ferrey, Steve         Jones, Philip Ball, Paul C.W. Davies, Ian Stewart, John D. Barrow, Oliver Morton, Maggie Gee, Stephen H. Schneider, Margaret Atwood, Gregory Benford, Martin J. Rees, Margaret Wertheim, Neal Stephenson, Rebecca Goldstein, Simon Schaffer, Richard  Holmes, Richard Fortey, Richard Dawkins","=""0007302568""","=""9780007302567""",0,Harper Press,Hardcover,490,2010,2010,,2013/09/24,to-read,to-read (#54),to-read,,,,0,0
52853,The Victorian Internet: The Remarkable Story of the Telegraph and the Nineteenth Century's On-line Pioneers,Tom Standage,"Standage, Tom",,"=""0425171698""","=""9780425171691""",0,Berkley Trade,Paperback,240,1999,1998,,2013/09/24,to-read,to-read (#52),to-read,,,,0,0
25014,The Map That Changed the World: William Smith and the Birth of Modern Geology,Simon Winchester,"Winchester, Simon",,"=""0060931809""","=""9780060931803""",0,Perennial,Paperback,329,2002,2001,,2013/09/24,to-read,to-read (#53),to-read,,,,0,0
55024,Connections,James  Burke,"Burke, James",,"=""0316116726""","=""9780316116725""",0,Little Brown & Co,Paperback,304,1995,1978,,2013/09/24,to-read,to-read (#51),to-read,,,,0,0
101864,"Iron Sunrise (Eschaton, #2)",Charles Stross,"Stross, Charles",,"=""1841493368""","=""9781841493367""",0,Orbit (UK),Mass Market Paperback,480,2005,2002,,2013/09/24,to-read,to-read (#50),to-read,,,,0,0
151132,Synaptic Self: How Our Brains Become Who We Are,Joseph E. LeDoux,"LeDoux, Joseph E.",,"=""0142001783""","=""9780142001783""",0,Penguin Books,Paperback,416,2003,2002,,2013/09/24,to-read,to-read (#49),to-read,,,,0,0
52443,"Rethinking Our Past: Recognizing Facts, Fictions, And Lies In American History",James W. Loewen,"Loewen, James W.",,"=""1402581939""","=""9781402581939""",5,Recorded Books,Unknown Binding,7,2004,2004,2013/09/24,2013/09/23,,,read,,,,1,0
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,"Bryson, Bill",,"=""0380715430""","=""9780380715435""",4,William Morrow Paperbacks,Paperback,270,1991,1990,2013/09/24,2013/09/12,,,read,,,,1,0
18123322,Sugar Alpha: The Life and Times of Señor Huevos Grandes,Roger  Nelson,"Nelson, Roger",Melissa  Nelson,"=""1475989407""","=""9781475989403""",4,iUniverse,Kindle Edition,389,2013,2013,2013/09/24,2013/08/15,,,read,,,,1,0
16884,The Making of the Atomic Bomb,Richard Rhodes,"Rhodes, Richard",,"=""0684813785""","=""9780684813783""",4,Simon & Schuster,Paperback,886,1995,1986,2013/09/12,2013/07/17,,,read,,,,1,0
8696,Last Chance to See,Douglas Adams,"Adams, Douglas",Mark Carwardine,"=""0345371984""","=""9780345371980""",5,Ballantine Books,Paperback,222,1992,1990,2013/07/30,2013/07/17,,,read,,,,1,0
4806,Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time,Dava Sobel,"Sobel, Dava",Neil Armstrong,"=""0802714625""","=""9780802714626""",5,Walker Books,Hardcover,184,2005,1995,2013/07/30,2013/07/17,,,read,,,,1,0
